raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,ring,L6,left,1783582684.042,1783582691.45
240,94.1176,94.1176,roll,ring,L6,left,1783582684.042,1783582694.465
225,88.2353,88.2353,roll,ring,L6,left,1783582684.042,1783582697.479
210,82.3529,82.3529,roll,ring,L6,left,1783582684.042,1783582700.495
195,76.4706,76.4706,roll,ring,L6,left,1783582684.042,1783582703.512
180,70.5882,70.5882,roll,ring,L6,left,1783582684.042,1783582706.527
165,64.7059,64.7059,roll,ring,L6,left,1783582684.042,1783582709.54
150,58.8235,58.8235,roll,ring,L6,left,1783582684.042,1783582712.559
135,52.9412,52.9412,roll,ring,L6,left,1783582684.042,1783582715.575
120,47.0588,47.0588,roll,ring,L6,left,1783582684.042,1783582718.59
105,41.1765,41.1765,roll,ring,L6,left,1783582684.042,1783582721.604
90,35.2941,35.2941,roll,ring,L6,left,1783582684.042,1783582724.614
75,29.4118,29.4118,roll,ring,L6,left,1783582684.042,1783582727.637
60,23.5294,23.5294,roll,ring,L6,left,1783582684.042,1783582730.651
45,17.6471,17.6471,roll,ring,L6,left,1783582684.042,1783582733.666
30,11.7647,11.7647,roll,ring,L6,left,1783582684.042,1783582736.684
15,5.8824,5.8824,roll,ring,L6,left,1783582684.042,1783582739.699
0,0.0,0.0,roll,ring,L6,left,1783582684.042,1783582742.716
