raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,100.0,roll,thumb_abd,L6,left,1783584392.699,1783584400.136
240,94.1176,93.7255,roll,thumb_abd,L6,left,1783584392.699,1783584403.153
225,88.2353,87.8431,roll,thumb_abd,L6,left,1783584392.699,1783584406.168
210,82.3529,81.9608,roll,thumb_abd,L6,left,1783584392.699,1783584409.184
195,76.4706,76.0784,roll,thumb_abd,L6,left,1783584392.699,1783584412.197
180,70.5882,70.1961,roll,thumb_abd,L6,left,1783584392.699,1783584415.208
165,64.7059,64.7059,roll,thumb_abd,L6,left,1783584392.699,1783584418.231
150,58.8235,58.8235,roll,thumb_abd,L6,left,1783584392.699,1783584421.246
135,52.9412,52.9412,roll,thumb_abd,L6,left,1783584392.699,1783584424.262
120,47.0588,47.0588,roll,thumb_abd,L6,left,1783584392.699,1783584427.278
105,41.1765,41.1765,roll,thumb_abd,L6,left,1783584392.699,1783584430.293
90,35.2941,35.2941,roll,thumb_abd,L6,left,1783584392.699,1783584433.309
75,29.4118,29.4118,roll,thumb_abd,L6,left,1783584392.699,1783584436.322
60,23.5294,23.5294,roll,thumb_abd,L6,left,1783584392.699,1783584439.339
45,17.6471,17.6471,roll,thumb_abd,L6,left,1783584392.699,1783584442.352
30,11.7647,11.7647,roll,thumb_abd,L6,left,1783584392.699,1783584445.369
15,5.8824,5.8824,roll,thumb_abd,L6,left,1783584392.699,1783584448.387
0,0.0,0.0,roll,thumb_abd,L6,left,1783584392.699,1783584451.408
