raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,thumb_flex,L6,left,1783583740.723,1783583748.138
240,94.1176,94.1176,roll,thumb_flex,L6,left,1783583740.723,1783583751.153
225,88.2353,88.2353,roll,thumb_flex,L6,left,1783583740.723,1783583754.168
210,82.3529,82.3529,roll,thumb_flex,L6,left,1783583740.723,1783583757.182
195,76.4706,76.4706,roll,thumb_flex,L6,left,1783583740.723,1783583760.197
180,70.5882,70.5882,roll,thumb_flex,L6,left,1783583740.723,1783583763.215
165,64.7059,64.7059,roll,thumb_flex,L6,left,1783583740.723,1783583766.231
150,58.8235,58.8235,roll,thumb_flex,L6,left,1783583740.723,1783583769.246
135,52.9412,52.9412,roll,thumb_flex,L6,left,1783583740.723,1783583772.262
120,47.0588,47.0588,roll,thumb_flex,L6,left,1783583740.723,1783583775.277
105,41.1765,41.1765,roll,thumb_flex,L6,left,1783583740.723,1783583778.29
90,35.2941,35.2941,roll,thumb_flex,L6,left,1783583740.723,1783583781.309
75,29.4118,29.4118,roll,thumb_flex,L6,left,1783583740.723,1783583784.325
60,23.5294,23.5294,roll,thumb_flex,L6,left,1783583740.723,1783583787.339
45,17.6471,17.6471,roll,thumb_flex,L6,left,1783583740.723,1783583790.356
30,11.7647,11.7647,roll,thumb_flex,L6,left,1783583740.723,1783583793.371
15,5.8824,5.8824,roll,thumb_flex,L6,left,1783583740.723,1783583796.387
0,0.0,0.0,roll,thumb_flex,L6,left,1783583740.723,1783583799.4
