raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,index,L6,left,1783581484.86,1783581492.278
240,94.1176,94.1176,roll,index,L6,left,1783581484.86,1783581495.293
225,88.2353,88.2353,roll,index,L6,left,1783581484.86,1783581498.305
210,82.3529,82.3529,roll,index,L6,left,1783581484.86,1783581501.325
195,76.4706,76.4706,roll,index,L6,left,1783581484.86,1783581504.34
180,70.5882,70.5882,roll,index,L6,left,1783581484.86,1783581507.356
165,64.7059,64.7059,roll,index,L6,left,1783581484.86,1783581510.371
150,58.8235,58.8235,roll,index,L6,left,1783581484.86,1783581513.385
135,52.9412,52.9412,roll,index,L6,left,1783581484.86,1783581516.403
120,47.0588,47.0588,roll,index,L6,left,1783581484.86,1783581519.413
105,41.1765,41.1765,roll,index,L6,left,1783581484.86,1783581522.434
90,35.2941,35.2941,roll,index,L6,left,1783581484.86,1783581525.447
75,29.4118,29.4118,roll,index,L6,left,1783581484.86,1783581528.465
60,23.5294,23.5294,roll,index,L6,left,1783581484.86,1783581531.477
45,17.6471,17.6471,roll,index,L6,left,1783581484.86,1783581534.494
30,11.7647,11.7647,roll,index,L6,left,1783581484.86,1783581537.512
15,5.8824,5.8824,roll,index,L6,left,1783581484.86,1783581540.528
0,0.0,0.0,roll,index,L6,left,1783581484.86,1783581543.543
